 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Acre
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";61,01;110,92;84,33;95,83;99,73;97,32;112,32;134,96;132,91;121,07;116,13;110,46;116,02;122,55;108,57;109,37;114,23;109,63;105,00;106,16;104,59;105,90;99,23;95,75;100,66;59,42;105,54
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;32,66;69,63;88,86;81,11;94,29;58,67;60,09
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;17,60;51,47;55,22;68,67;66,75;72,29;73,76;73,49;66,43;82,50;76,81;75,98;82,15;50,89;49,50
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;0,65;75,19;83,11;80,32;67,74;88,64;78,69;78,66;75,62;55,09;50,59
"073 Hepatite B";11,21;51,66;47,67;13,15;28,87;113,88;60,72;77,99;84,91;94,58;83,24;82,15;85,93;101,72;88,30;97,63;93,29;93,78;90,68;84,83;65,21;82,62;81,55;73,54;69,93;51,17;74,94
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;16,38;81,54;64,83;81,24;74,92;72,57;69,67;50,95;64,19
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,86;50,85;69,66;69,00;60,90;72,48;84,98;84,57;89,08;55,04;64,09
"074 Poliomielite";24,31;45,84;61,34;78,74;71,71;76,77;92,64;113,91;122,35;131,65;111,35;94,05;94,66;116,33;94,64;110,91;104,03;111,03;96,07;92,78;75,44;82,74;71,27;73,88;77,58;49,86;88,50
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,20;...;0,65;1,87
"006 Febre Amarela";-;63,59;30,00;85,83;73,51;99,23;90,06;102,46;101,18;95,36;69,08;79,37;83,81;97,63;86,29;97,22;91,17;96,38;94,45;84,12;58,78;66,67;64,33;62,74;66,53;44,01;76,83
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;11,52;73,22;60,42;69,47;76,11;48,41;47,95
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;56,06;47,00;59,39;58,13;69,32;72,92;46,19;58,36
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;57,47;47,70;57,90;73,01;74,17;67,18;52,27;61,40
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;82,72;62,17;57,94;58,75;64,93;58,39;41,24;61,16
"021 Tríplice Viral  D1";...;...;...;...;...;...;27,55;67,82;104,56;99,40;123,22;95,12;90,84;109,45;94,17;103,45;96,87;105,29;90,28;95,00;99,20;84,21;75,71;79,76;82,94;52,58;89,16
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;27,08;61,61;51,69;64,20;60,55;72,05;44,31;54,17
