 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Alagoas
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";82,07;77,34;89,31;96,86;111,97;116,01;111,00;122,14;115,74;123,39;118,76;117,42;110,48;101,06;113,67;101,57;99,87;107,00;112,47;108,03;102,18;104,97;110,27;111,65;59,95;104,94
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;86,60;93,04;81,44;90,62;96,19;54,68;71,19
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;31,33;61,69;68,16;79,38;74,79;69,84;75,58;84,87;85,96;90,10;83,30;84,41;97,01;57,70;51,26
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;3,43;88,03;92,87;93,67;93,75;95,30;89,65;88,92;99,70;59,20;48,84
"073 Hepatite B";-;0,06;0,10;4,38;55,10;82,28;76,94;95,03;94,88;99,02;97,95;99,90;90,95;88,86;103,26;96,60;89,84;92,56;95,50;91,65;92,53;98,57;82,62;102,15;62,38;73,23
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;29,00;91,24;90,23;91,40;84,74;81,06;97,11;56,79;77,29
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6,65;67,98;82,50;85,19;87,82;88,29;94,37;91,68;102,91;60,98;76,26
"074 Poliomielite";54,07;40,02;50,12;60,33;85,32;94,25;86,47;98,48;100,75;104,98;103,22;103,88;94,38;90,87;106,07;100,47;90,61;90,22;97,53;93,32;94,25;80,07;82,65;94,80;56,34;85,34
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,22;1,56;0,74;1,18
"006 Febre Amarela";-;-;0,11;0,01;1,52;1,35;0,27;0,15;0,03;0,05;0,07;0,13;0,23;0,21;0,28;0,31;0,27;0,29;0,35;0,40;0,51;0,50;0,80;2,94;1,96;0,47
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;52,93;98,05;72,88;91,58;88,28;58,16;65,36
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;86,61;84,61;84,17;80,95;85,74;89,94;58,16;81,51
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;81,48;76,94;75,64;90,23;84,20;90,89;61,30;80,06
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;81,79;85,35;80,99;75,56;85,41;83,15;52,52;77,92
"021 Tríplice Viral  D1";...;...;...;...;...;11,13;59,09;97,43;99,05;123,77;110,17;103,90;99,63;92,94;105,33;98,58;89,95;93,18;110,72;113,15;98,67;102,24;104,01;106,07;67,73;93,51
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;58,38;90,64;81,68;60,50;71,21;71,34;45,37;68,51
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;26,91;90,20;81,19;63,96;31,30;19,68;2,36;45,54
"075 DTP";46,64;39,30;32,92;58,18;78,83;87,81;83,96;41,63;2,02;105,59;104,69;104,81;95,40;90,98;106,03;98,99;90,34;87,12;92,08;90,43;91,59;84,81;81,22;97,46;57,00;76,14
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,20;...;3,90;3,89;2,31;1,07;4,74
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;80,10;86,02;87,36;67,08;82,70;76,82;39,53;74,43
"018 Sarampo";72,36;43,11;65,19;61,49;84,94;99,61;92,68;103,06;2,90;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;69,27
"009 Haemophilus influenzae b";-;-;-;-;0,83;67,63;77,01;36,51;0,96;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;20,08
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;55,83;51,12;45,23;44,78;53,41;67,22;40,83;51,17
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,44;9,26;41,10;41,31;49,56;72,93;51,05;37,61
"Total";36,45;28,55;33,96;40,18;52,39;62,43;65,28;65,97;46,13;79,54;76,41;70,17;69,10;66,63;77,46;66,46;76,30;75,03;67,28;71,53;81,42;68,67;73,46;80,00;49,09;64,74
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

