 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Amazonas
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";41,00;88,38;112,77;109,65;108,68;117,20;118,46;108,31;107,78;109,89;118,64;130,49;127,52;125,35;121,18;120,83;115,98;117,27;124,16;116,92;120,39;110,79;95,87;93,81;96,99;58,92;107,99
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;98,95;101,09;85,80;85,42;90,44;56,70;74,39
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;33,21;60,25;57,82;65,02;58,68;64,13;67,93;75,98;83,26;88,88;75,15;74,27;79,95;55,28;49,73
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;2,05;83,28;87,70;86,36;87,91;94,91;82,77;81,21;79,16;59,63;55,81
"073 Hepatite B";27,96;42,02;52,97;12,19;21,17;64,23;64,57;66,13;66,06;68,57;77,60;85,09;86,34;91,82;86,98;93,92;92,73;90,33;93,98;86,43;90,05;95,21;106,98;78,27;79,62;57,64;72,97
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,08;84,77;89,71;94,61;82,35;75,82;78,95;54,92;73,35
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;7,59;61,39;75,35;75,57;78,30;84,54;88,36;86,40;89,70;61,67;71,17
"074 Poliomielite";17,86;48,41;84,96;85,73;86,73;84,06;103,46;90,00;91,89;85,63;91,44;90,97;89,85;93,06;87,06;93,57;92,48;87,15;91,93;96,83;98,86;104,80;76,24;76,30;78,83;55,09;83,79
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,23;0,24;0,06;0,18
"006 Febre Amarela";7,55;16,68;69,11;74,31;108,21;93,87;100,65;98,87;89,94;84,35;73,50;89,07;92,13;97,76;87,54;94,48;88,78;89,88;93,64;91,35;92,46;92,52;75,83;70,35;69,93;49,10;80,30
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;44,12;97,74;68,07;79,94;78,19;56,47;61,01
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;76,08;76,96;79,07;79,58;78,37;78,05;53,67;74,57
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;76,48;80,09;80,67;88,89;82,04;76,55;59,71;77,86
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;83,64;80,87;82,98;68,19;67,91;66,96;51,64;71,68
"021 Tríplice Viral  D1";...;...;...;...;...;...;14,84;27,69;71,27;91,30;86,06;104,03;103,37;110,07;101,56;103,13;100,11;94,67;103,39;98,77;114,36;95,42;83,56;84,59;90,09;58,89;86,94
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;56,09;84,51;78,17;75,60;65,40;77,98;51,33;69,89
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,44;84,84;77,43;75,80;63,07;58,49;45,40;62,40
"075 DTP";32,00;52,32;57,91;58,65;65,40;69,39;74,81;72,37;40,14;2,55;88,50;92,16;91,34;94,78;90,15;96,92;94,17;91,25;93,26;86,26;89,79;94,65;82,42;75,83;79,06;55,06;73,76
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,28;...;2,54;3,18;2,40;1,45;4,17
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;81,60;81,23;78,68;46,95;66,42;68,96;48,05;67,25
"018 Sarampo";34,81;74,59;71,18;106,45;72,42;82,49;113,34;94,82;84,27;5,39;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;72,68
"009 Haemophilus influenzae b";...;-;-;-;-;0,12;63,31;65,48;34,71;1,71;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;19,29
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;48,43;49,11;51,92;36,65;49,46;56,72;39,75;47,39
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,27;7,00;49,29;42,85;58,11;70,89;50,14;40,24
"Total";26,86;46,06;64,13;63,85;66,09;64,02;72,69;69,26;65,12;49,97;76,53;84,54;83,30;89,86;84,43;89,32;75,70;86,60;85,54;68,16;74,62;87,03;69,49;75,30;80,13;54,75;72,01
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

