 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Amapá
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";94,46;118,90;88,07;104,39;132,84;117,68;181,41;129,05;123,55;121,20;123,56;121,68;113,26;115,66;115,77;115,69;111,74;105,80;117,07;118,80;121,56;113,86;97,17;102,66;61,16;114,84
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;91,56;97,87;86,08;86,04;91,63;56,49;73,20
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;34,28;63,16;68,14;78,41;73,53;68,11;72,56;75,48;77,35;82,33;95,33;71,75;76,46;50,33;52,98
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;0,40;74,80;86,79;91,36;81,94;88,76;96,36;72,15;68,11;54,76;60,55
"073 Hepatite B";6,92;66,18;11,79;34,62;83,62;87,62;156,27;90,72;86,50;89,80;91,32;90,84;89,91;91,22;100,73;90,14;88,48;87,77;92,44;78,21;85,74;99,65;63,60;64,72;47,09;80,76
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;15,78;90,56;78,05;84,65;92,84;60,94;63,02;43,88;66,74
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,55;61,79;75,59;77,89;67,78;69,18;103,85;73,78;78,32;52,30;67,15
"074 Poliomielite";59,74;71,93;86,57;76,07;85,72;91,16;155,06;94,27;98,44;104,02;99,70;94,36;98,82;97,10;126,11;90,75;84,58;92,67;93,31;80,66;92,38;47,59;63,88;68,66;46,88;88,13
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;10,81;...;...;10,81
"006 Febre Amarela";0,04;4,42;10,54;93,36;94,50;92,80;178,09;98,99;97,89;74,56;90,31;85,89;87,97;85,69;88,54;82,38;80,74;84,54;82,57;71,06;76,80;91,49;62,34;65,43;42,27;78,79
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;38,02;88,47;87,09;69,18;68,17;47,09;57,51
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;78,28;65,88;65,34;74,92;66,98;63,38;43,60;65,53
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;68,43;64,20;72,77;90,67;70,71;62,00;52,39;68,95
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;87,26;73,10;73,15;29,41;30,53;38,73;36,06;52,12
"021 Tríplice Viral  D1";...;...;...;...;...;5,25;131,68;89,81;114,50;129,76;99,34;90,41;98,29;93,02;100,57;92,10;93,00;91,55;95,63;113,19;89,02;97,36;77,87;77,01;51,07;91,26
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;48,43;84,86;74,65;85,95;64,85;63,83;43,35;66,67
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,17;80,98;71,14;86,08;60,89;51,12;41,52;60,47
"075 DTP";70,55;71,10;79,00;77,63;87,06;85,73;156,41;30,11;-;96,28;96,39;92,58;95,99;98,37;104,15;93,43;89,94;87,16;91,34;78,15;84,67;92,84;60,94;63,14;43,92;81,12
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,91;...;4,19;4,31;2,90;1,90;4,82
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;83,44;68,12;73,06;66,50;56,19;52,08;36,76;62,23
"018 Sarampo";80,42;70,21;92,11;80,61;100,13;97,78;163,82;54,55;0,83;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;82,14
"009 Haemophilus influenzae b";-;-;-;-;-;56,91;148,03;28,85;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;29,29
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;53,45;44,41;53,81;55,32;21,57;48,71;34,57;44,45
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,39;2,55;41,29;52,23;20,28;57,12;41,74;31,16
"Total";44,59;57,53;52,58;66,67;72,98;70,55;141,22;68,55;57,73;96,00;93,78;82,35;87,59;87,78;97,10;74,58;83,69;80,02;68,30;66,78;79,65;75,87;65,02;68,29;47,24;73,10
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

