 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Bahia
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";109,49;81,27;80,58;102,44;105,02;106,50;109,95;117,46;107,19;106,68;123,28;124,43;119,03;114,16;106,30;106,66;106,29;105,24;99,27;101,39;101,28;102,89;84,07;86,19;83,44;46,12;101,74
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;79,02;87,18;71,59;75,47;75,53;43,73;61,34
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;40,81;72,20;74,28;79,97;72,14;77,90;77,69;85,93;86,41;88,36;74,05;74,70;78,92;43,75;50,68
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;64,72;93,47;92,41;95,22;91,26;93,76;77,67;80,99;77,30;45,71;55,34
"073 Hepatite B";-;-;0,00;0,06;11,82;83,39;80,18;92,96;83,82;85,32;94,24;102,38;103,71;99,72;96,03;99,78;94,43;95,95;92,25;90,64;92,41;93,42;83,73;78,43;78,98;47,40;69,59
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6,05;84,18;91,79;92,98;76,86;75,95;76,28;44,27;68,17
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,83;66,46;83,99;89,21;87,91;90,24;79,58;84,61;82,99;46,36;71,12
"074 Poliomielite";76,43;48,64;55,77;68,03;80,54;83,54;95,25;108,30;93,10;92,07;103,14;109,82;109,76;105,46;98,45;102,30;95,93;97,32;93,26;96,40;93,87;95,42;70,72;77,27;77,30;43,86;86,84
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,20;0,05;0,01;0,10
"006 Febre Amarela";-;-;0,00;0,03;0,83;36,07;77,05;88,06;87,18;88,79;99,30;103,64;103,70;101,18;94,85;100,51;94,25;92,26;91,40;92,41;85,72;83,29;69,45;72,08;68,28;41,14;65,43
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;61,83;94,42;60,53;76,49;71,83;43,15;57,83
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,54;84,33;82,60;67,93;71,50;69,24;42,42;72,84
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,90;85,92;84,20;82,72;76,84;71,72;47,74;77,15
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,55;85,26;84,20;63,64;67,57;56,60;36,64;69,47
"021 Tríplice Viral  D1";...;...;...;...;...;...;76,30;104,80;88,35;107,79;132,66;117,98;114,49;108,20;102,05;108,09;102,97;100,29;97,88;109,17;114,85;90,18;85,70;83,27;80,39;48,83;103,98
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;68,48;91,52;78,54;56,24;62,92;63,24;38,47;65,76
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;36,87;88,80;73,66;59,46;22,62;4,89;0,77;41,28
"075 DTP";75,38;53,35;51,33;62,22;76,84;80,60;88,47;100,04;57,05;3,47;103,91;108,77;108,83;104,32;98,86;102,99;96,59;98,66;93,58;91,33;92,11;94,20;77,82;76,00;76,30;44,29;80,10
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,92;...;2,58;2,77;1,49;0,86;3,64
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;93,16;87,57;84,26;62,10;68,40;60,44;36,68;70,64
"018 Sarampo";82,51;70,49;56,61;86,02;86,40;85,62;104,31;102,45;93,03;9,22;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;77,27
