 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Ceará
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";104,65;133,83;133,29;131,62;100,44;119,40;113,38;118,81;110,69;103,20;115,70;118,57;110,12;112,81;107,02;108,08;106,60;105,98;103,02;108,63;107,40;114,62;108,82;108,49;103,39;55,74;110,81
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;86,15;96,59;96,84;98,46;95,54;50,50;74,72
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;41,73;85,67;88,77;90,97;87,61;88,44;88,66;95,74;97,49;107,60;112,01;102,11;113,27;63,32;62,18
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;23,74;98,96;96,34;100,51;99,66;110,05;115,99;103,07;112,36;63,91;60,29
"073 Hepatite B";-;-;0,03;0,00;1,02;59,57;96,84;107,33;100,35;97,22;108,58;106,33;104,35;104,49;101,68;103,63;99,54;98,25;95,67;100,85;99,59;108,66;125,04;98,66;113,36;64,16;77,12
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;27,48;98,03;98,92;106,69;111,47;96,01;105,51;61,79;87,97
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,50;81,64;89,96;93,23;98,37;106,34;119,75;108,37;117,21;66,14;87,94
"074 Poliomielite";94,18;106,37;103,09;109,36;90,05;104,02;101,39;112,59;103,92;98,78;115,84;110,62;109,21;108,98;105,37;105,70;101,03;100,00;97,79;104,79;103,92;113,68;107,89;96,57;108,81;62,25;102,88
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,02;0,58;0,06;0,60
"006 Febre Amarela";-;-;-;-;0,63;14,27;27,21;5,38;0,77;0,17;0,09;0,08;0,31;0,15;0,18;0,15;0,18;0,11;0,09;0,20;0,23;0,36;0,44;0,57;0,90;0,43;2,34
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;57,84;102,26;94,11;96,40;92,85;58,87;71,61
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;99,17;96,24;102,20;112,13;94,13;97,47;58,92;94,31
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;94,53;95,90;101,32;117,20;95,39;99,62;62,09;95,14
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;100,42;100,69;105,14;88,34;90,78;85,50;52,00;88,94
"021 Tríplice Viral  D1";...;...;...;...;...;...;85,19;109,94;104,11;119,11;112,89;110,35;105,30;107,88;103,02;105,67;103,91;110,92;97,61;115,15;140,69;110,83;119,76;105,23;110,24;64,79;113,07
