 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Distrito Federal
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";1,70;136,31;146,75;159,36;162,78;128,74;122,91;116,89;115,71;115,74;109,26;112,04;106,67;107,92;111,11;113,36;98,39;106,51;133,19;113,52;78,27;138,11;98,58;89,95;63,77;111,33
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;126,20;96,65;134,78;109,68;113,26;68,89;92,93
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;59,79;88,69;87,30;92,34;89,00;78,35;85,89;103,12;91,84;65,45;129,62;90,99;86,97;55,97;62,94
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;21,46;108,78;92,91;111,56;98,06;70,05;148,87;87,77;89,21;57,51;55,10
"073 Hepatite B";1,37;102,91;32,44;89,69;119,35;86,83;91,43;92,17;90,01;95,52;94,07;99,85;97,14;96,36;99,42;91,25;85,47;92,46;108,90;94,44;67,49;159,70;89,63;87,32;54,28;88,80
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;31,51;102,86;92,60;66,43;140,25;89,23;83,39;53,65;82,50
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;29,88;74,72;81,75;101,52;102,41;69,91;140,73;95,29;89,34;56,88;84,25
"074 Poliomielite";-;105,49;107,50;127,57;126,08;99,53;97,51;97,23;96,96;101,10;96,60;101,83;100,31;99,18;101,97;94,20;86,48;93,65;112,17;94,34;74,92;136,83;88,47;83,35;54,26;95,00
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,22;0,11;0,03;0,12
"006 Febre Amarela";-;0,92;4,02;3,46;6,77;5,65;0,65;0,20;0,72;0,21;0,09;1,60;3,11;50,24;2,81;2,97;3,86;3,09;87,56;90,51;62,37;132,73;82,42;84,26;55,20;27,36
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;82,97;74,69;107,07;90,38;85,64;58,94;71,56
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;107,22;91,81;67,91;123,76;83,59;78,12;51,37;86,21
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;104,24;87,08;58,93;153,72;83,50;83,82;58,48;89,98
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;108,50;82,85;69,33;101,15;85,34;71,26;51,55;81,38
"021 Tríplice Viral  D1";...;...;...;...;134,17;101,96;102,22;99,92;101,66;96,70;101,14;98,91;95,26;91,52;95,78;92,41;89,52;92,85;105,23;104,91;67,58;131,75;89,21;86,99;58,73;96,92
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;103,87;97,29;65,43;128,41;86,21;88,69;59,30;89,83
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;44,44;93,36;66,33;129,99;74,46;82,74;57,01;78,40
"075 DTP";-;107,72;104,94;130,00;125,03;99,45;100,28;17,33;0,17;98,50;95,06;99,61;97,88;96,66;100,25;92,38;84,82;92,08;106,86;95,24;67,73;140,41;89,93;84,16;54,13;86,83
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,14;...;3,38;3,27;3,66;1,66;4,64
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;99,34;87,27;60,44;103,62;83,16;74,76;48,42;79,50
"018 Sarampo";-;50,59;0,42;1,30;0,00;0,03;0,04;-;0,02;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5,74
"009 Haemophilus influenzae b";-;-;0,00;45,09;100,43;107,26;101,93;18,25;1,62;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;41,94
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;76,57;65,42;62,84;85,71;19,26;55,65;43,89;58,45
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,40;19,12;53,29;74,74;21,95;64,21;51,33;41,23
"Total";0,44;71,99;56,58;79,50;85,95;69,94;68,64;49,24;45,17;72,59;70,84;71,79;73,70;78,65;75,46;69,66;78,93;77,27;86,59;83,21;68,48;116,94;85,86;86,20;57,84;75,33
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

