 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Espírito Santo
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";94,31;103,09;99,67;112,42;116,11;118,95;106,13;106,58;108,58;110,03;110,09;108,75;106,40;100,20;100,79;101,14;106,86;103,27;103,12;104,68;105,52;102,26;90,61;90,46;99,75;56,05;102,42
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;89,64;94,10;79,85;82,06;91,62;53,16;70,21
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;59,60;91,14;90,85;94,48;91,04;97,07;94,35;97,26;98,42;98,00;91,78;83,18;93,17;54,40;63,97
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;25,42;122,22;100,98;99,71;101,42;99,66;94,01;81,38;89,31;55,44;59,44
"073 Hepatite B";90,42;86,87;85,76;34,50;100,01;107,94;97,75;98,52;102,69;108,10;105,15;103,15;103,09;102,16;98,36;102,15;99,21;103,95;101,42;107,36;101,41;101,12;117,67;84,23;104,17;51,65;95,90
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;32,91;97,27;99,96;99,62;92,14;80,36;89,36;49,85;80,30
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;44,66;106,20;100,49;98,41;99,61;99,93;95,64;88,10;95,77;56,40;88,46
"074 Poliomielite";73,72;73,97;80,89;98,38;120,33;148,59;108,53;109,82;114,88;119,51;112,22;112,11;112,45;108,97;104,58;107,32;103,07;108,26;104,93;100,22;101,25;99,39;89,28;81,32;90,54;54,09;101,12
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,66;0,35;0,15;0,35
"006 Febre Amarela";-;0,02;-;2,32;0,03;0,06;45,99;21,89;4,13;5,97;26,66;34,60;36,40;35,94;33,54;10,73;1,03;0,66;0,80;0,56;0,44;0,39;0,42;61,33;73,80;46,25;17,08
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;82,99;94,01;78,10;76,69;88,40;57,46;68,40
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;97,69;94,58;94,17;92,44;78,70;88,49;58,68;86,20
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,33;93,34;91,38;107,60;79,36;81,28;61,94;86,69
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,75;91,67;89,37;78,53;77,19;76,52;49,93;79,20
"021 Tríplice Viral  D1";...;...;...;...;...;...;68,74;99,75;101,04;126,19;113,96;110,12;109,37;104,49;100,36;102,47;99,72;103,76;105,07;106,19;109,44;99,04;104,31;87,38;95,37;62,14;105,91
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;84,89;97,63;87,48;78,35;72,40;79,43;52,82;78,76
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;39,84;98,45;85,88;81,52;15,93;7,20;1,40;46,91
"075 DTP";87,09;90,77;88,02;98,39;104,00;108,26;100,14;101,31;31,94;2,05;109,12;107,42;106,75;104,78;100,29;104,76;101,14;105,94;101,83;98,02;101,02;100,23;92,27;80,58;89,78;50,10;90,78
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,18;...;2,82;2,64;1,30;0,70;2,96
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;78,21;91,97;92,15;61,56;71,55;64,79;39,53;71,11
"018 Sarampo";96,21;89,98;94,09;105,21;107,62;108,38;103,79;102,25;100,05;3,79;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;91,54
"009 Haemophilus influenzae b";...;-;-;-;-;8,87;92,25;94,05;26,92;1,98;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;25,27
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;50,18;53,36;56,78;48,69;49,70;59,66;40,05;51,18
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,34;15,66;59,81;49,87;63,25;78,79;51,45;46,17
"Total";73,62;63,53;64,06;64,46;78,30;89,02;80,37;81,62;65,72;53,32;83,44;83,57;80,18;82,76;82,20;82,33;74,70;94,59;84,59;72,65;79,85;87,58;75,31;75,13;83,54;53,82;76,04
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

