 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Goiás
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";56,81;115,33;108,30;108,98;105,67;108,16;108,76;110,42;112,81;111,28;121,32;116,34;117,71;119,46;119,52;115,63;118,33;120,18;112,78;116,43;115,49;105,30;92,31;91,39;93,14;58,19;106,01
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;78,40;82,63;68,60;73,49;78,78;50,40;62,30
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;33,82;85,25;85,50;88,49;86,51;92,49;90,40;102,48;96,28;96,99;87,81;88,41;87,69;54,67;61,42
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;9,72;123,55;101,40;106,21;97,74;96,73;87,68;87,38;87,04;56,01;64,13
"073 Hepatite B";-;0,01;2,40;1,20;5,36;90,29;90,71;91,28;90,89;92,24;95,53;94,89;104,46;106,75;100,32;101,53;97,55;100,39;102,78;107,85;94,71;97,66;105,04;82,85;90,83;52,83;75,54
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;40,88;105,57;93,88;94,87;84,89;81,24;83,01;49,54;79,35
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;19,05;99,83;95,85;101,42;93,13;89,88;91,78;90,65;90,97;56,41;83,06
"074 Poliomielite";37,28;85,64;82,35;68,33;91,10;98,08;107,12;101,08;99,28;104,13;111,97;104,03;110,61;112,35;104,30;105,20;100,56;107,11;101,00;107,69;97,65;95,88;82,10;83,74;84,76;53,21;92,72
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,34;0,22;0,04;0,21
"006 Febre Amarela";2,21;10,10;21,46;31,83;59,51;74,20;143,05;101,72;102,41;99,84;91,07;104,93;109,79;114,92;107,55;102,64;102,25;107,96;102,55;103,59;91,71;84,80;79,54;76,05;78,17;51,15;81,40
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;69,18;90,65;72,30;84,63;81,14;54,52;65,29
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;95,52;87,96;85,50;79,68;79,57;80,45;52,72;79,94
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;94,73;87,66;84,25;94,40;83,69;81,81;56,85;83,22
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;96,64;87,60;78,32;75,35;78,26;71,07;48,21;76,20
"021 Tríplice Viral  D1";...;...;...;...;...;...;82,19;95,71;99,18;109,98;113,78;106,42;109,78;116,26;106,10;106,90;106,82;115,54;107,68;117,77;122,14;94,83;85,93;88,94;87,28;57,14;105,01
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;69,95;92,25;68,14;84,19;78,75;76,42;50,19;74,27
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;32,50;85,99;63,24;85,20;65,85;59,20;45,32;62,76
"075 DTP";39,27;88,07;81,46;61,32;88,63;92,33;96,90;97,73;71,18;1,43;113,81;105,84;110,14;113,90;105,12;104,03;102,23;104,68;89,28;106,66;94,59;95,43;84,94;81,33;83,30;49,78;86,12
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,10;...;4,48;4,21;2,37;0,90;4,61
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,90;85,54;82,26;57,54;71,99;62,44;30,47;68,30
"018 Sarampo";43,36;110,09;79,55;113,82;86,15;96,60;111,76;101,25;102,20;2,30;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;83,93
"009 Haemophilus influenzae b";...;-;-;-;-;8,61;85,98;96,63;60,43;1,18;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;27,89
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;47,16;29,77;25,36;28,70;33,19;38,65;25,76;32,53
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,26;6,42;35,39;41,76;51,50;64,20;42,95;35,59
"Total";29,82;58,46;53,64;55,07;62,35;80,35;91,83;88,44;82,02;58,16;95,50;94,35;93,61;102,36;96,83;94,99;83,31;107,97;94,46;80,66;78,30;82,82;72,33;80,52;79,40;50,98;77,49
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

