 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Minas Gerais
Período:1994-2019
"Imuno";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";94,43;86,92;103,83;112,72;102,86;97,29;91,92;108,04;108,89;106,77;104,74;103,68;103,35;102,08;102,88;103,34;104,06;100,85;102,41;89,41;93,60;99,16;58,91;99,21
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;88,03;88,92;76,13;80,60;89,41;53,83;68,11
"061 Rotavírus Humano";...;...;-;-;-;-;-;...;...;57,15;91,75;91,39;95,33;93,22;96,22;93,79;99,12;98,57;101,89;92,20;88,58;96,87;59,22;61,82
"053 Meningococo C";...;...;...;...;...;...;...;-;-;-;-;-;-;130,47;106,04;100,72;105,89;99,62;103,38;94,75;89,16;96,08;59,31;71,20
"073 Hepatite B";0,02;1,18;75,64;111,31;94,13;90,25;83,43;99,70;101,94;103,54;103,38;99,11;103,78;96,80;98,03;100,70;104,11;99,04;100,98;105,35;90,67;99,96;65,15;86,70
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;27,81;102,21;98,75;100,70;93,25;86,74;95,58;55,59;82,76
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;49,93;101,25;98,66;104,69;97,91;100,89;95,71;92,05;98,79;59,91;90,02
"074 Poliomielite";76,28;82,20;93,10;106,70;99,22;91,01;87,11;103,49;105,86;105,99;105,58;99,56;105,19;100,41;103,22;98,61;103,24;96,51;97,12;88,29;86,50;95,28;57,74;94,87
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,11;0,13;0,12;0,12
"006 Febre Amarela";0,29;14,57;56,51;46,58;83,62;68,62;20,26;86,37;101,79;102,50;102,77;96,49;103,28;95,69;99,51;97,85;99,90;85,33;91,00;86,03;81,65;93,20;58,64;74,59
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;66,23;100,35;79,07;90,22;90,80;60,44;69,60
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;105,00;95,66;94,11;85,85;83,89;88,37;58,32;87,25
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;99,09;93,64;92,73;106,79;86,47;89,42;61,90;90,03
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;98,98;90,38;84,83;90,57;84,72;81,57;54,07;83,61
"021 Tríplice Viral  D1";...;...;...;92,70;101,89;98,80;103,62;115,20;107,46;105,77;109,28;98,69;105,45;99,72;100,80;104,88;108,25;109,22;100,11;98,93;93,59;96,77;65,82;106,24
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;83,49;87,72;71,87;88,38;85,68;84,50;56,89;79,82
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;39,15;78,40;66,03;91,82;18,30;9,33;0,57;43,54
"075 DTP";65,33;83,53;91,84;105,43;97,25;35,86;0,58;103,72;106,00;106,14;105,86;100,32;105,71;101,45;104,20;97,71;103,23;99,06;101,00;93,28;86,77;95,73;55,75;87,56
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,70;...;2,18;2,13;1,64;1,08;2,57
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;99,97;91,76;91,62;76,59;79,42;80,94;45,50;80,78
"018 Sarampo";108,07;82,96;95,96;108,91;101,65;74,61;0,98;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;81,78
"009 Haemophilus influenzae b";0,00;0,00;6,62;96,71;95,79;34,66;0,65;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,54
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;51,38;33,61;29,85;17,32;22,94;45,28;32,40;33,12
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,49;7,49;35,56;25,14;37,02;72,03;49,49;32,54
"Total";49,20;50,19;76,80;86,78;86,26;65,66;43,15;90,76;93,46;89,21;94,91;90,71;100,41;96,64;101,35;92,41;80,90;78,87;87,97;76,74;86,54;91,25;56,35;80,00
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

