 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Mato Grosso do Sul
Período:1994-2019
"Imuno";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";101,50;120,67;113,70;114,96;121,58;120,00;114,94;108,05;99,81;102,71;104,31;105,88;102,39;104,29;105,23;107,48;105,36;113,25;129,71;129,60;106,14;105,94;107,54;64,34;108,57
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;106,89;115,86;98,35;92,43;101,88;62,26;82,56
"061 Rotavírus Humano";...;...;...;-;-;-;-;-;...;...;55,34;86,58;84,78;91,64;87,57;93,07;91,36;104,10;127,91;117,69;97,89;92,83;96,07;57,40;68,16
"053 Meningococo C";...;...;...;...;...;...;...;...;-;-;-;-;-;-;3,56;113,31;100,53;113,65;130,44;120,46;101,41;93,41;94,19;58,48;69,14
"073 Hepatite B";0,03;0,16;0,71;65,29;96,99;97,81;97,30;97,66;89,83;95,83;102,21;101,60;93,00;102,63;96,35;99,98;99,51;113,30;129,11;118,97;102,64;93,99;95,72;60,47;84,91
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,29;110,67;128,18;117,87;98,98;92,44;93,86;57,96;91,44
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;32,82;89,78;96,14;111,82;125,87;117,25;103,30;98,68;101,00;59,59;93,78
"074 Poliomielite";68,82;80,17;93,79;97,52;112,63;111,29;114,34;107,08;99,47;100,48;104,61;104,83;96,87;106,10;99,64;95,54;102,28;118,01;130,10;120,36;93,78;91,11;95,03;56,75;99,66
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,54;0,54;0,28;0,47
"006 Febre Amarela";34,01;51,61;70,34;87,28;109,76;109,36;107,73;106,29;73,40;93,86;99,21;100,93;89,76;100,52;93,59;98,91;98,32;107,12;115,39;108,81;93,76;84,74;89,70;56,34;90,35
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;76,16;112,53;83,15;88,88;91,53;55,56;72,61
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;108,02;120,54;111,02;93,96;88,26;88,49;54,38;94,56
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;101,50;115,98;106,37;113,21;87,90;88,61;60,06;95,98
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;104,15;112,54;100,05;87,46;84,80;100,60;53,96;91,55
"021 Tríplice Viral  D1";...;...;...;...;114,77;99,93;100,22;119,49;98,49;97,99;104,28;106,44;92,66;102,13;100,22;96,29;100,76;113,91;143,76;112,53;100,98;94,93;104,12;61,72;107,70
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;44,68;115,08;80,03;94,30;78,20;97,30;51,17;79,97
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;35,91;103,64;70,74;94,94;69,14;78,43;47,10;71,36
"075 DTP";69,65;79,41;88,79;89,41;98,84;105,26;52,27;1,06;94,64;100,56;105,03;105,50;97,14;106,99;100,36;103,34;99,73;112,52;129,67;118,36;99,06;92,70;94,52;58,44;91,80
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,85;...;2,49;2,78;1,92;1,11;3,53
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;102,53;113,56;103,33;89,37;83,04;85,83;47,38;88,90
"018 Sarampo";77,15;83,04;90,18;105,21;118,86;105,60;99,86;1,88;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;85,49
"009 Haemophilus influenzae b";-;-;-;0,28;64,89;106,15;49,30;1,06;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;26,89
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;45,72;52,52;51,22;46,68;59,54;63,00;42,03;51,55
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,50;11,54;44,57;40,61;60,58;69,92;47,75;39,81
"Total";50,16;59,29;65,36;81,13;93,15;95,05;81,78;60,40;82,88;88,24;88,74;93,71;86,71;93,77;81,63;99,74;92,43;83,42;102,20;104,21;84,88;87,28;91,67;55,89;84,68
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

