 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Pará
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";84,18;107,88;107,83;118,54;85,43;100,51;103,54;118,34;127,04;122,87;128,59;146,91;140,16;136,53;127,68;128,81;124,65;120,12;113,62;117,68;114,80;94,87;81,62;84,67;83,70;46,52;110,41
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;94,09;81,63;55,28;74,00;74,66;43,17;60,20
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;26,51;56,39;62,21;69,93;66,89;71,51;74,00;85,97;82,24;72,51;69,33;64,75;70,66;45,28;46,96
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;2,09;61,60;85,21;89,92;83,38;76,55;72,49;71,14;64,38;45,60;45,99
"073 Hepatite B";3,46;31,17;34,69;5,14;10,52;63,64;63,75;73,64;85,50;86,50;105,25;106,42;105,30;103,32;102,19;104,32;100,64;96,71;93,35;93,44;83,71;73,63;76,33;62,24;57,79;41,42;71,09
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14,79;87,89;83,20;73,13;67,08;61,02;57,20;40,40;60,53
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,69;46,31;72,39;77,96;70,33;60,36;75,72;76,10;77,66;47,90;60,49
"074 Poliomielite";38,36;45,48;47,88;49,71;83,76;86,14;109,25;107,74;118,45;118,52;124,94;123,42;116,22;111,15;109,56;106,11;103,38;101,54;97,78;96,98;84,36;72,09;63,15;67,18;68,28;42,82;88,23
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,04;0,04;0,03;0,03
"006 Febre Amarela";5,36;12,84;17,94;29,26;80,62;92,57;85,95;100,19;95,47;99,85;92,78;103,10;98,62;107,84;100,04;107,97;100,80;95,98;95,00;90,07;70,42;57,71;59,57;58,66;62,31;38,04;75,05
