 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Paraíba
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";68,26;88,69;110,13;103,05;107,34;101,55;121,52;112,80;109,52;120,51;125,97;125,87;124,46;123,87;118,19;110,46;113,41;108,66;112,35;111,91;105,73;97,27;102,56;104,93;57,73;107,00
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;91,56;87,11;75,29;84,10;98,81;52,54;69,53
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;54,39;83,07;82,82;87,41;77,09;84,38;79,63;89,81;92,47;92,51;88,90;84,61;95,28;53,79;57,73
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;2,33;82,65;86,87;96,81;92,23;94,18;89,19;85,17;94,09;53,59;51,39
"073 Hepatite B";-;0,01;0,02;0,56;45,64;89,16;96,64;96,61;94,77;98,70;101,24;107,08;105,84;97,95;105,20;98,07;98,29;96,31;100,04;93,49;95,19;97,01;83,29;95,53;55,91;75,29
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;29,20;97,61;93,18;93,55;87,54;82,12;90,90;52,29;78,00
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;31,16;82,86;83,48;93,34;89,96;92,05;93,52;90,81;99,82;55,94;81,05
"074 Poliomielite";40,16;74,99;85,18;87,05;94,52;91,89;103,87;100,66;98,24;103,13;104,78;111,07;110,40;101,47;110,05;100,95;101,97;92,08;108,24;100,40;96,12;85,46;82,07;91,55;51,54;92,41
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,76;0,27;0,36;0,47
"006 Febre Amarela";-;-;-;0,12;1,61;0,28;0,41;0,11;0,30;0,33;0,26;0,34;0,44;0,50;0,37;0,63;0,41;0,47;0,58;0,53;0,58;0,78;0,89;1,02;0,75;0,43
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;42,16;83,36;74,95;88,06;82,33;50,73;59,96
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;91,02;82,77;81,12;77,02;78,16;75,83;50,69;76,69
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;82,26;79,10;77,87;90,47;77,18;75,40;54,30;76,67
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;99,85;89,11;75,59;67,91;75,43;69,70;46,18;74,89
"021 Tríplice Viral  D1";...;...;...;...;...;67,12;95,42;96,56;108,34;114,45;107,30;112,97;116,26;102,50;104,40;119,28;102,34;92,72;114,64;120,35;93,67;96,59;96,74;95,77;58,80;105,28
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;60,95;86,96;64,46;56,66;71,86;71,38;44,66;65,20
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34,19;77,44;57,99;61,22;24,06;8,10;10,14;39,01
"075 DTP";46,20;69,65;79,53;83,65;92,32;89,32;102,80;56,69;2,73;101,57;104,07;110,69;109,68;101,03;106,62;101,28;101,80;87,90;98,36;93,34;93,65;87,67;82,21;91,00;52,39;84,87
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,12;...;1,83;2,42;1,76;1,15;3,11
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;88,82;83,15;73,19;65,37;73,31;61,04;41,91;69,60
"018 Sarampo";50,75;74,38;94,59;83,12;93,34;93,34;107,26;101,46;0,02;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;77,32
"009 Haemophilus influenzae b";-;-;-;-;0,08;78,81;92,33;51,17;1,81;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;23,83
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;53,19;37,91;32,21;31,06;37,03;50,25;31,23;39,03
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,65;7,76;29,79;28,28;34,11;63,67;44,28;30,01
"Total";29,34;43,96;52,78;51,08;64,35;67,94;79,99;68,39;46,05;76,95;77,66;77,80;81,54;77,53;82,37;82,71;85,35;75,73;71,73;72,15;77,63;68,17;71,71;74,99;46,73;68,03
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

