 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Pernambuco
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";84,38;121,43;119,72;138,95;133,72;141,20;124,76;118,78;123,86;126,01;121,69;117,31;116,60;114,41;113,27;112,83;107,59;110,45;106,89;105,68;108,55;110,06;98,90;97,30;106,15;58,24;113,25
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;79,29;87,25;84,72;86,37;99,90;56,09;70,34
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;43,30;81,34;85,30;90,73;83,27;89,76;90,53;94,63;97,19;100,78;93,79;83,08;94,53;54,80;60,37
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;2,54;108,14;100,79;99,11;98,17;102,53;96,15;85,31;93,92;56,06;53,75
"073 Hepatite B";-;-;0,08;0,35;1,31;85,69;93,22;87,18;97,84;101,58;99,51;99,31;101,79;104,14;102,32;105,14;98,76;103,01;103,68;103,47;101,80;104,38;103,40;87,64;98,37;56,95;76,21
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,89;96,17;98,44;103,59;94,29;85,69;93,95;53,59;81,35
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;29,05;92,70;95,20;93,30;94,58;101,07;100,13;91,41;100,65;57,06;85,53
"074 Poliomielite";51,16;112,12;119,08;128,05;131,43;127,29;114,08;104,61;103,77;113,81;109,86;109,70;109,60;110,94;106,67;108,60;101,18;109,60;100,08;101,06;101,68;109,29;90,38;84,38;94,04;54,19;103,95
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,76;0,40;0,21;0,54
"006 Febre Amarela";-;0,00;0,00;0,07;0,18;0,44;9,01;7,78;8,11;8,57;8,77;1,21;0,33;0,36;0,49;0,42;0,34;0,38;0,32;0,42;0,34;0,50;0,51;0,70;1,06;0,70;2,04
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;54,97;96,59;76,36;85,73;82,42;54,42;64,29
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,91;88,23;91,60;90,72;81,75;85,02;54,34;83,67
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;93,10;90,88;93,92;103,12;82,94;84,89;58,16;86,92
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;93,24;89,28;97,16;71,55;80,56;75,44;46,01;79,25
"021 Tríplice Viral  D1";...;...;...;...;...;...;29,21;69,88;84,64;119,59;113,70;109,15;110,07;113,35;105,71;111,23;104,79;113,67;104,59;120,77;108,46;97,81;112,65;101,28;104,46;63,82;99,33
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;65,42;92,83;87,36;68,22;71,21;69,49;48,59;72,02
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,85;91,13;85,85;70,12;30,63;10,84;4,61;46,93
"075 DTP";58,85;82,58;74,82;75,26;100,38;103,50;94,54;89,59;38,80;-;108,30;106,07;108,05;108,84;104,85;107,87;102,18;107,08;99,82;97,32;98,57;103,69;94,43;85,90;94,07;53,61;87,70
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,24;...;3,24;3,45;1,99;1,01;4,07
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;85,27;85,51;93,27;78,67;78,98;71,99;42,85;76,90
"018 Sarampo";73,31;104,74;87,24;122,51;113,48;117,36;115,01;105,86;107,29;5,38;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;94,92
"009 Haemophilus influenzae b";...;-;-;-;-;4,41;78,72;77,65;28,95;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;21,44
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;60,89;60,46;66,24;53,31;49,55;58,84;39,48;55,66
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6,49;16,04;59,77;49,22;51,30;68,16;49,11;42,56
"Total";44,62;60,12;57,28;66,46;68,64;72,49;73,17;73,48;66,03;52,98;80,26;79,26;73,77;80,73;77,94;79,60;72,61;92,75;82,68;72,41;75,85;90,18;74,84;72,96;78,32;48,81;72,18
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

