 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Piauí
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";99,20;117,83;100,88;106,74;108,22;113,31;112,58;116,52;109,56;101,91;113,52;108,98;109,07;107,05;106,17;104,48;101,87;100,07;96,75;96,50;96,50;86,27;83,90;96,09;97,47;50,07;102,40
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;89,25;81,03;68,93;89,97;91,30;51,29;66,79
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;37,71;79,41;84,11;89,68;80,01;84,91;86,36;89,57;82,24;85,48;78,54;76,85;84,54;52,86;54,52
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;0,40;108,34;96,94;94,14;84,53;87,43;79,81;80,81;83,47;54,11;52,20
"073 Hepatite B";-;0,01;0,00;-;-;14,23;91,91;95,29;93,41;88,93;94,87;94,83;101,69;101,98;99,19;102,30;95,72;96,92;93,04;93,74;82,92;82,37;88,08;78,44;89,14;59,51;67,84
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,76;90,16;82,53;82,04;78,98;75,49;85,24;50,29;70,55
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,35;78,36;91,87;90,25;81,81;82,38;82,49;84,60;87,76;54,93;73,16
"074 Poliomielite";53,33;65,31;64,35;62,77;83,15;94,71;99,34;106,39;106,35;103,72;106,00;102,53;107,62;108,31;100,04;103,42;97,02;98,47;93,91;93,06;81,86;80,92;70,69;77,67;83,00;51,63;88,01
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,45;0,13;...;0,29
"006 Febre Amarela";0,01;0,17;1,15;0,69;1,27;11,97;68,88;61,18;81,73;85,48;93,78;94,41;99,73;103,72;98,40;99,89;93,99;92,71;97,29;90,34;76,49;74,20;71,72;69,77;76,45;47,81;62,39
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;52,87;87,08;60,31;80,06;75,82;50,77;57,55
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,48;77,28;78,49;75,44;78,31;78,63;49,12;75,72
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;88,07;77,57;76,34;93,42;81,11;77,74;53,21;78,23
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,15;74,50;61,01;66,81;76,56;57,16;41,78;66,88
