 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Paraná
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";80,39;103,76;110,91;112,12;107,37;111,17;112,38;106,78;105,89;104,83;104,32;104,35;102,85;102,97;103,68;103,82;106,53;103,92;110,00;107,97;105,66;94,11;95,73;94,38;62,59;102,36
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;76,40;90,97;75,64;74,95;65,12;44,48;61,29
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;50,13;83,51;85,74;89,67;91,66;93,21;91,65;98,68;98,68;99,75;90,74;89,07;88,41;58,80;61,70
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;5,01;120,45;99,86;105,47;101,35;102,77;93,55;91,59;89,72;60,88;64,10
"073 Hepatite B";26,62;89,96;47,95;44,53;104,07;99,61;101,45;99,45;99,26;95,66;97,17;100,81;100,33;95,12;98,93;97,79;100,84;99,07;104,45;99,40;101,88;104,69;95,15;98,12;72,75;89,93
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,07;101,94;99,07;101,26;91,58;89,94;87,75;56,62;81,54
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;35,36;94,19;94,94;103,42;99,72;101,22;95,22;94,33;90,08;60,05;86,97
"074 Poliomielite";70,01;91,28;97,90;96,47;92,91;104,42;105,76;102,67;103,38;99,66;99,65;103,49;102,69;96,32;100,36;99,60;102,50;96,78;104,65;98,76;97,39;87,54;89,73;87,72;57,81;95,33
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,26;0,11;0,08;0,14
"006 Febre Amarela";0,07;0,02;0,27;0,03;0,19;0,32;0,25;0,50;0,17;0,15;0,22;42,28;77,08;73,41;78,03;71,63;77,49;76,89;81,72;75,36;76,99;67,58;68,95;75,46;56,64;37,61
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;61,57;105,64;75,43;90,27;88,24;60,60;69,09
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;102,37;94,84;98,23;84,05;85,47;85,39;59,12;86,95
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;97,78;93,21;91,27;102,10;87,81;87,30;62,54;88,83
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;92,08;83,25;83,08;75,00;81,33;78,42;52,67;77,89
"021 Tríplice Viral  D1";...;...;...;...;...;91,12;101,36;101,72;107,13;93,89;99,78;101,21;103,17;94,48;100,19;95,64;98,59;99,94;110,21;113,35;99,44;91,87;91,84;89,37;63,19;102,98
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;77,16;93,09;78,91;91,29;88,20;86,81;59,95;82,21
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;40,20;88,21;74,68;92,63;73,50;63,01;56,05;69,88
"075 DTP";70,11;91,27;96,85;95,74;93,02;103,96;105,64;53,28;1,82;99,75;99,88;104,15;102,88;97,06;100,77;100,17;103,59;100,23;103,55;99,55;101,61;91,70;90,10;87,93;56,82;89,88
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,31;...;2,77;2,18;1,69;1,11;3,09
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;93,18;85,63;85,13;65,13;65,70;63,82;40,73;71,16
"018 Sarampo";70,47;90,28;122,89;113,72;97,89;110,32;107,67;98,35;1,22;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;91,36
"009 Haemophilus influenzae b";-;0,00;0,48;1,76;1,80;107,57;103,84;52,50;2,54;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;28,86
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;44,02;36,77;29,54;18,48;35,23;44,05;31,52;34,14
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,98;4,77;37,65;30,94;56,55;68,90;48,17;35,60
"Total";45,38;66,65;68,18;66,34;74,05;80,94;82,19;68,41;47,15;72,59;74,49;79,47;88,74;85,21;90,56;79,09;99,71;88,53;78,83;79,32;88,38;74,70;84,68;87,47;61,50;77,13
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

