 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Rio de Janeiro
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";120,92;97,88;129,97;124,32;134,13;109,09;106,79;110,33;111,00;109,32;115,50;113,78;110,81;108,64;109,58;108,29;114,04;107,57;106,95;113,30;115,06;106,29;114,98;104,79;34,15;109,54
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;84,23;87,66;85,83;94,32;81,29;25,17;65,90
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;48,58;76,93;76,19;80,26;78,90;85,42;82,66;90,89;93,47;98,91;93,67;83,36;88,97;32,87;57,28
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;8,36;106,89;94,60;98,16;98,59;104,08;98,30;91,13;87,33;33,56;62,57
"073 Hepatite B";0,00;0,05;0,34;1,88;77,08;84,27;86,26;89,03;87,30;90,68;96,53;96,12;93,67;87,94;93,05;90,28;94,81;92,62;96,57;94,87;103,85;120,07;94,87;93,53;33,90;75,63
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;31,08;92,30;94,32;99,31;96,70;93,64;87,52;30,35;78,48
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,97;69,43;80,27;85,26;88,74;94,10;107,63;97,18;92,03;34,17;75,51
"074 Poliomielite";90,96;76,30;98,15;102,14;101,67;93,98;94,07;111,61;111,46;108,27;118,98;103,95;112,08;108,31;109,39;106,87;112,15;96,87;99,95;100,89;107,03;89,93;88,92;86,98;32,47;98,38
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,25;0,18;0,01;0,16
"006 Febre Amarela";-;0,08;0,06;0,03;0,25;5,30;1,69;0,38;0,47;0,32;0,34;0,22;0,32;0,75;0,44;0,36;0,33;0,39;1,04;1,01;0,51;0,22;26,19;46,49;26,46;4,53
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;61,25;99,65;77,94;89,42;80,94;32,94;63,51
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;85,76;84,83;91,70;87,37;84,50;72,79;30,00;76,83
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;83,17;85,01;90,20;98,73;82,82;70,44;34,56;78,03
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;81,43;83,13;87,69;64,52;81,20;66,81;26,31;70,18
"021 Tríplice Viral  D1";...;...;...;...;...;89,41;90,78;96,23;114,46;105,97;107,75;102,12;100,54;95,46;96,69;94,98;107,16;97,18;108,16;112,48;105,42;109,26;98,90;99,31;39,13;103,32
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;67,04;96,45;89,41;72,17;71,04;69,95;29,36;70,80
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34,03;96,72;90,55;73,79;19,67;8,82;2,12;46,66
"075 DTP";93,93;72,37;78,89;110,61;101,97;91,19;91,77;67,12;3,39;99,73;101,96;97,94;96,92;90,48;95,03;92,16;97,45;91,34;92,73;94,62;99,72;97,11;93,90;87,82;30,44;86,70
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,29;...;3,51;3,51;2,64;0,84;4,48
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;80,13;82,42;83,78;55,69;78,96;58,01;21,33;65,78
"018 Sarampo";83,79;79,64;105,80;103,65;106,29;101,26;100,32;98,25;0,76;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;86,78
"009 Haemophilus influenzae b";-;0,00;0,00;0,01;16,33;92,13;89,10;60,99;3,02;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,18
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;39,35;39,52;46,37;42,45;50,66;44,48;16,83;40,09
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,25;7,36;54,41;52,38;66,32;59,44;25,35;38,41
"Total";55,66;46,62;59,03;63,23;79,08;74,07;73,55;70,56;47,98;77,93;82,08;74,00;78,63;75,85;79,17;64,78;87,52;77,46;67,66;74,23;87,82;75,25;76,43;71,42;28,98;69,51
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

