 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Rio Grande do Norte
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";101,77;98,10;91,84;102,44;92,47;105,02;103,37;107,28;114,24;113,32;111,53;112,21;117,69;113,38;108,39;110,28;113,18;119,20;112,51;109,15;108,15;105,90;89,26;66,48;106,87;43,64;103,03
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;89,47;94,42;72,08;60,24;100,63;42,70;65,29
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;35,21;67,49;71,81;76,46;75,77;82,55;83,41;86,11;88,24;89,86;76,75;68,99;85,12;46,98;52,56
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;1,21;90,37;95,25;92,49;91,44;95,23;79,53;70,95;83,48;46,66;53,29
"073 Hepatite B";-;0,00;0,00;0,01;0,73;38,88;86,44;88,03;97,59;97,58;95,41;94,62;102,00;97,72;91,43;97,95;94,28;97,52;97,04;89,58;89,93;91,01;83,49;70,30;90,89;45,56;68,49
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;16,78;86,89;89,42;90,58;76,32;68,55;88,77;44,02;69,92
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;19,07;80,39;88,47;85,26;85,67;89,02;84,42;76,14;93,58;49,05;74,98
"074 Poliomielite";69,70;73,06;66,30;75,44;73,31;79,87;86,79;91,46;94,42;97,37;98,65;98,43;102,95;99,01;92,36;95,99;96,67;96,88;93,98;93,86;95,63;97,64;70,25;69,04;89,62;44,26;85,90
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,42;1,46;0,03;0,60
"006 Febre Amarela";-;0,00;-;0,49;0,49;1,28;3,66;2,73;1,76;2,01;1,23;1,34;0,94;0,61;0,25;0,37;0,16;0,08;0,11;0,12;0,30;0,38;0,41;0,37;0,77;0,41;0,81
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;41,17;87,97;63,17;66,93;76,86;44,84;54,19
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,89;83,08;84,08;73,17;69,03;78,64;45,98;75,05
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;84,59;85,00;86,11;88,25;69,19;74,04;48,54;76,64
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;88,80;86,06;82,64;61,27;65,57;64,40;39,74;69,89
