 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Rondônia
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";93,86;101,12;104,31;120,42;122,22;113,72;111,60;114,36;102,43;97,42;106,60;109,69;121,15;114,13;105,86;107,64;102,79;105,79;106,12;108,15;110,07;110,77;104,90;98,38;93,33;53,21;105,11
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;105,84;104,78;99,55;90,57;91,31;52,35;77,44
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;51,00;90,01;80,83;88,70;84,74;88,46;89,45;96,25;103,08;103,95;104,70;94,87;96,52;57,31;61,92
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;5,35;119,99;103,11;98,45;105,68;104,02;105,46;95,55;99,82;59,31;60,80
"073 Hepatite B";47,54;69,65;74,41;37,92;90,79;94,89;94,53;98,90;92,68;86,75;94,16;101,90;114,10;113,45;100,19;106,68;98,73;101,35;102,76;101,44;106,10;106,35;119,63;110,82;101,10;58,82;91,29
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,78;96,22;105,72;104,54;103,31;109,25;99,82;57,39;87,89
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;23,46;90,78;97,54;94,60;103,92;104,68;104,22;108,00;103,09;60,04;89,21
"074 Poliomielite";54,17;68,75;73,78;92,83;104,67;96,48;98,82;104,77;98,27;93,97;103,75;110,25;122,13;120,88;105,98;111,99;101,20;107,32;105,68;100,07;108,09;105,44;105,44;108,61;101,76;57,10;96,58
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,03;0,03;...;0,03
"006 Febre Amarela";8,29;49,44;66,06;97,43;115,31;103,35;113,63;114,25;100,23;93,86;75,87;105,13;119,70;114,96;104,43;102,31;97,74;103,51;103,02;103,68;103,17;106,06;114,05;109,72;89,85;52,74;92,06
