 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Roraima
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";99,64;129,05;126,51;129,41;122,06;137,46;187,41;104,68;116,91;105,42;97,50;107,16;115,45;103,53;95,06;101,81;113,21;115,06;118,08;94,17;103,97;110,55;107,95;116,86;136,35;73,98;113,28
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;73,20;74,28;79,97;114,02;131,29;73,24;79,26
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;36,94;65,27;66,15;75,68;71,68;72,92;73,71;72,10;86,68;94,18;86,72;89,75;94,26;51,25;56,47
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;6,00;93,86;84,65;83,38;86,14;95,34;97,78;87,35;87,06;52,38;61,78
"073 Hepatite B";10,60;45,72;78,27;30,93;74,29;95,52;122,90;77,19;85,19;78,41;80,64;87,62;84,80;88,46;81,84;99,60;90,85;93,31;84,34;83,52;87,42;97,26;92,39;91,46;89,26;52,28;81,64
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;28,56;82,63;86,70;96,71;91,68;90,53;86,55;51,42;77,28
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;23,38;74,13;78,57;79,81;81,12;89,86;100,64;96,87;98,63;58,75;78,81
"074 Poliomielite";49,36;93,94;83,36;81,69;103,03;99,13;134,10;85,58;93,31;86,46;91,02;100,22;90,94;95,00;89,57;103,67;96,71;95,52;88,78;86,48;89,54;112,28;88,45;87,52;81,87;52,25;90,74
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,43;0,38;...;0,40
"006 Febre Amarela";3,70;33,29;46,30;53,11;112,89;98,09;141,29;92,32;103,89;96,17;71,01;95,09;90,78;95,97;91,82;100,57;90,75;93,11;83,87;80,36;86,89;93,64;87,95;87,12;75,56;44,06;83,87
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;52,93;98,21;72,93;90,29;90,46;52,67;66,25
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;74,30;81,42;90,61;86,85;89,34;82,38;44,29;78,17
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;69,80;77,98;88,63;114,81;86,40;85,11;46,80;81,25
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;77,83;81,94;99,15;87,45;92,01;86,01;44,78;80,99
"021 Tríplice Viral  D1";...;...;...;...;...;...;25,35;61,93;75,26;110,22;110,32;116,01;94,23;97,31;95,51;100,61;94,49;97,98;87,83;89,07;110,16;108,45;90,77;89,13;105,04;48,20;90,17
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;23,02;89,67;92,42;83,50;89,26;90,70;54,18;75,17
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;18,29;89,83;92,53;83,64;87,25;73,75;47,85;70,88
"075 DTP";70,53;82,78;89,09;73,65;94,96;95,44;128,99;81,27;27,50;1,87;85,92;95,90;89,81;92,05;86,71;105,63;95,49;95,91;81,44;83,04;87,06;96,87;91,68;90,71;86,80;51,53;83,04
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,56;...;2,95;4,90;7,26;1,68;5,31
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;79,21;82,79;88,27;86,44;84,07;80,67;42,24;77,28
"018 Sarampo";90,29;116,47;88,12;110,31;89,50;96,02;135,75;84,90;93,31;10,44;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,77
"009 Haemophilus influenzae b";...;-;-;-;-;-;112,36;74,14;20,62;0,52;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;26,70
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;40,34;42,07;52,24;55,85;53,23;41,23;26,04;44,48
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;11,55;7,43;43,67;50,22;62,40;63,00;45,33;41,19
"Total";54,02;71,61;73,09;68,44;85,25;77,72;109,79;73,54;68,50;53,67;84,00;94,35;81,55;79,70;82,06;93,08;77,04;92,42;80,98;61,76;72,90;91,04;80,02;85,22;90,89;55,45;78,16
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

