 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Rio Grande do Sul
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";102,81;96,65;106,21;102,25;110,23;102,88;104,48;103,68;103,81;101,99;103,22;102,08;100,32;98,94;99,16;96,44;101,20;101,24;110,88;105,10;103,74;94,42;91,54;88,78;58,38;99,84
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;81,04;82,65;72,63;75,94;74,80;52,06;62,96
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;44,76;78,24;80,68;83,88;82,18;84,06;83,97;92,17;93,79;90,85;88,29;84,69;88,84;56,37;56,87
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;3,33;117,08;94,39;103,74;97,94;95,57;91,16;88,03;81,22;58,75;59,18
"073 Hepatite B";-;0,05;0,10;2,18;110,45;94,77;93,66;90,06;91,56;90,38;93,33;95,34;95,99;91,14;93,50;90,96;93,63;92,02;102,56;95,99;91,92;110,43;86,52;89,41;60,50;75,56
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;35,19;101,01;94,81;91,28;88,27;83,64;83,38;54,38;79,21
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14,62;92,79;89,57;98,36;94,39;90,52;94,30;91,03;89,11;58,21;81,51
"074 Poliomielite";96,69;79,90;91,24;87,38;94,68;97,37;98,15;93,52;96,20;95,04;97,64;99,10;99,89;93,33;95,28;92,34;95,07;89,40;100,28;95,42;89,20;84,46;85,60;84,09;55,73;91,46
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,45;0,76;0,62;0,62
"006 Febre Amarela";-;-;0,02;0,51;0,18;0,33;1,96;3,45;4,55;4,76;5,17;4,91;5,27;6,05;30,01;29,78;34,84;49,17;61,58;55,11;55,61;61,16;55,56;58,37;42,64;21,11
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;63,89;96,25;72,74;82,56;83,69;56,76;65,42
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,08;84,70;81,50;84,95;81,42;80,50;54,87;79,67
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;87,40;85,26;82,05;98,55;84,33;76,67;60,79;82,15
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;78,72;80,21;74,75;89,85;78,47;76,19;50,66;75,56
"021 Tríplice Viral  D1";...;...;...;...;...;79,75;22,85;86,54;110,93;100,61;101,40;101,05;104,53;95,32;95,32;93,63;93,87;91,61;105,65;107,74;87,81;90,45;87,66;88,55;58,89;94,72
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;75,29;90,12;69,36;86,47;79,74;83,30;54,51;76,96
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;37,03;81,82;59,93;87,12;65,89;68,53;51,73;64,68
"075 DTP";96,69;78,73;90,72;87,73;95,25;97,51;98,35;36,24;0,64;95,83;98,11;99,54;99,89;93,06;94,72;92,07;94,66;85,59;102,15;95,54;91,77;88,43;83,73;83,60;54,57;85,35
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,28;...;3,25;2,42;1,85;1,07;3,78
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;82,25;80,37;78,56;60,86;72,62;69,59;45,27;69,84
"018 Sarampo";97,74;84,09;97,15;84,22;94,14;95,97;100,40;96,07;1,95;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;84,64
"009 Haemophilus influenzae b";-;-;-;0,00;0,80;77,58;97,90;34,38;1,02;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,88
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;44,36;27,97;25,94;24,76;27,54;47,04;34,38;33,09
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,63;5,02;24,78;26,13;33,34;62,34;46,28;28,67
"Total";56,28;48,49;55,06;52,04;74,64;71,80;68,13;60,54;45,92;71,35;73,32;70,42;76,78;73,52;78,93;67,35;89,69;81,22;74,08;74,40;78,52;73,55;78,80;80,84;55,32;70,25
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

