 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Santa Catarina
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";112,64;114,28;102,46;115,99;94,49;100,09;106,23;104,27;102,76;101,99;103,76;103,14;101,15;100,83;100,88;102,37;103,68;106,70;104,28;102,22;107,93;110,14;102,01;85,25;91,49;55,95;101,36
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;92,38;99,28;87,12;77,97;80,50;54,09;70,39
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;57,21;91,57;88,65;94,04;93,35;96,72;96,43;96,26;99,89;107,21;98,79;92,50;92,45;60,54;66,16
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;6,59;131,03;104,25;101,17;103,38;108,57;101,36;96,25;92,11;62,88;69,56
"073 Hepatite B";38,45;91,98;82,64;21,72;68,98;86,46;96,26;98,88;98,88;100,70;96,09;98,75;98,63;101,07;94,93;100,62;98,74;101,22;99,42;104,61;100,38;106,00;121,84;87,66;103,51;64,82;90,03
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;33,14;97,18;98,39;104,63;97,64;84,66;91,02;56,21;83,04
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;56,53;102,77;100,71;99,42;100,22;106,09;103,02;89,74;90,26;61,83;90,87
"074 Poliomielite";87,00;97,47;83,81;94,32;88,54;92,97;102,57;105,67;99,10;101,54;100,27;101,37;101,03;104,07;96,82;102,55;98,82;101,18;99,97;97,78;97,17;102,43;92,12;90,64;91,32;59,36;95,31
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,27;0,27;0,23;0,25
"006 Febre Amarela";0,12;0,00;0,01;0,03;0,21;0,17;0,56;3,22;4,95;8,66;9,55;9,28;9,03;9,19;8,87;10,71;23,97;28,92;29,60;28,83;29,07;28,02;30,75;28,75;59,22;56,79;15,80
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;78,23;103,16;84,03;83,98;86,55;59,58;71,14
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;98,33;98,69;99,89;93,69;82,05;83,39;58,42;87,30
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;101,53;101,36;101,32;97,05;87,69;85,64;63,53;90,70
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;91,23;88,40;83,35;87,25;85,90;81,69;54,32;81,37
"021 Tríplice Viral  D1";...;...;...;...;...;...;95,57;101,09;91,38;115,37;97,79;101,01;100,38;102,40;96,43;103,11;101,30;99,79;100,35;104,61;112,20;103,42;98,97;93,90;91,48;62,31;103,52
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;71,69;93,38;83,72;98,38;83,25;83,17;58,00;81,46
