 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Sergipe
Período:1994-2019
"Imuno";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";119,02;116,50;124,60;125,01;125,90;114,80;112,29;105,13;104,74;107,35;104,81;106,32;104,82;104,40;101,53;90,89;98,60;92,28;96,61;99,77;105,80;97,11;97,86;103,21;51,69;105,00
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;125,39;110,58;94,63;93,94;105,34;50,91;82,58
"061 Rotavírus Humano";...;...;...;...;-;-;-;-;-;...;...;51,96;92,62;88,18;92,20;89,50;95,08;89,67;98,91;94,90;92,63;84,28;81,75;92,40;54,68;61,23
"053 Meningococo C";...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;0,22;102,92;98,07;96,55;92,52;92,95;84,90;83,41;89,51;56,49;56,59
"073 Hepatite B";-;0,01;0,03;1,26;72,99;101,48;92,74;101,39;102,71;100,92;90,63;94,47;105,13;98,65;103,22;98,60;102,07;96,56;100,05;94,41;94,09;82,14;80,47;97,09;59,40;77,89
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;24,46;98,97;94,02;93,93;81,78;80,08;90,83;54,34;77,12
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;35,70;94,00;94,97;97,45;93,24;92,94;87,71;87,14;96,22;56,42;83,50
"074 Poliomielite";92,80;87,14;98,86;98,19;105,68;101,90;101,53;103,27;107,79;107,34;97,17;99,51;108,68;99,94;105,73;99,87;103,40;96,85;99,41;94,25;93,69;78,29;79,04;89,09;53,49;96,36
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,18;0,05;0,10;0,11
"006 Febre Amarela";-;-;-;0,02;0,00;10,14;3,38;0,29;0,43;-;0,01;0,04;0,05;0,08;0,08;0,08;0,11;0,06;0,06;0,10;0,36;0,40;0,33;1,16;0,93;0,78
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;60,08;95,57;68,47;80,90;81,85;54,46;62,73
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;103,51;93,31;88,72;80,04;80,19;82,16;57,04;83,67
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;101,89;92,24;86,21;90,83;81,91;81,35;60,52;85,11
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;104,98;91,95;86,56;63,74;75,20;71,04;48,33;77,56
"021 Tríplice Viral  D1";...;...;...;...;...;94,08;102,22;103,48;132,46;120,41;93,82;95,89;106,25;99,53;102,66;98,24;98,03;97,34;111,44;94,64;91,99;92,09;89,26;95,30;62,09;105,59
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;79,87;81,80;80,95;70,86;74,18;71,91;47,83;72,55
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;42,14;77,26;74,59;75,19;24,98;0,87;0,37;42,60
"075 DTP";85,26;81,02;94,67;98,26;102,23;100,48;100,87;43,58;-;107,31;97,12;99,04;108,35;100,70;105,63;99,68;103,31;97,28;99,40;94,39;94,07;81,91;80,17;90,92;54,46;88,85
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,65;...;2,01;3,16;2,36;1,18;2,78
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;105,33;91,42;86,71;76,89;73,99;66,61;41,50;77,71
"018 Sarampo";93,22;83,71;106,09;96,44;104,06;112,06;105,51;108,69;2,39;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,73
"009 Haemophilus influenzae b";-;-;-;-;-;94,64;95,79;41,06;0,06;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;26,36
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;60,12;50,44;50,51;23,74;28,85;47,77;29,32;41,62
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,64;6,70;39,36;21,14;29,44;62,05;40,90;28,14
"Total";55,76;52,63;60,61;59,88;78,39;81,06;79,43;67,73;50,11;80,52;71,65;70,65;80,95;76,45;79,14;73,55;88,61;78,75;74,98;75,02;83,01;66,29;70,79;76,17;48,83;71,15
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

