 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Tocantins
Período:1994-2019
"Imuno";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";101,56;112,98;115,70;119,50;110,23;122,08;113,06;102,09;109,27;110,81;111,61;109,12;107,30;104,01;100,84;102,60;98,29;92,02;103,00;107,48;99,23;105,14;102,35;69,91;105,64
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;84,28;94,35;77,44;91,53;99,07;69,75;73,44
"061 Rotavírus Humano";...;...;...;-;-;-;-;-;...;...;48,48;83,36;81,45;88,02;83,61;86,33;83,12;90,19;91,90;97,73;91,00;89,01;92,38;57,96;59,49
"053 Meningococo C";...;...;...;...;...;...;...;...;-;-;-;-;-;-;5,03;118,40;96,82;97,86;93,73;98,73;92,43;89,94;79,07;61,18;54,69
"073 Hepatite B";53,30;24,80;57,18;96,97;94,71;100,11;95,97;96,67;102,12;102,76;105,93;105,10;97,43;105,74;97,54;98,55;93,49;105,07;94,40;100,00;106,61;86,78;92,41;59,87;90,36
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;36,25;98,05;93,92;98,70;88,14;85,80;89,30;58,74;80,97
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;35,85;94,29;92,97;93,87;90,64;93,92;97,31;93,10;99,59;61,48;85,21
"074 Poliomielite";64,37;100,46;108,06;107,50;106,04;118,44;106,54;102,04;106,65;106,26;108,91;109,02;99,83;107,81;97,21;99,62;92,75;96,97;90,51;97,22;84,77;85,93;90,90;58,95;97,95
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,03;0,99;1,02;0,07
"006 Febre Amarela";25,53;60,35;87,81;102,84;100,65;106,25;108,59;101,33;85,29;99,84;100,70;102,65;93,89;100,37;93,10;93,40;93,88;93,22;86,67;83,28;77,26;73,18;80,58;53,07;87,75
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;54,73;94,52;75,63;87,84;83,51;56,22;64,37
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;88,90;83,44;86,36;84,19;82,67;83,63;58,10;81,00
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;85,85;81,74;83,17;109,59;88,29;72,75;63,79;83,67
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;83,22;80,24;76,89;89,23;81,51;74,42;49,42;76,42
"021 Tríplice Viral  D1";...;...;...;...;0,17;82,17;88,48;115,03;97,41;101,00;100,96;107,82;96,40;103,00;95,33;91,41;91,60;102,24;105,54;94,70;91,89;89,24;90,39;58,69;89,86
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;72,31;89,43;61,33;88,28;78,59;78,12;53,97;74,57
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;34,67;82,22;52,17;88,32;65,46;65,26;52,93;62,97
"075 DTP";68,48;84,82;96,23;100,13;100,46;106,32;24,50;0,65;105,75;105,36;108,74;108,00;99,57;107,86;97,45;100,63;89,38;98,31;94,01;98,76;88,14;85,83;89,43;58,84;87,78
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,60;...;2,28;2,31;1,18;0,66;2,46
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;79,75;88,04;83,28;69,89;80,58;70,94;47,30;74,19
"018 Sarampo";71,43;122,72;100,32;100,22;102,88;108,37;98,91;4,05;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;88,22
"009 Haemophilus influenzae b";-;-;-;0,08;78,85;99,66;20,14;0,34;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;25,00
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;52,32;37,08;15,24;11,52;35,06;48,25;36,77;33,73
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,25;5,14;16,55;19,23;54,45;73,95;53,80;31,95
"Total";54,95;72,30;80,76;78,45;77,27;93,71;72,92;58,05;86,64;89,43;85,67;94,47;86,67;93,43;79,62;98,36;86,86;73,55;75,72;81,88;74,87;86,43;86,33;60,36;79,23
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

