 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Maranhão
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";66,55;104,50;100,79;118,82;118,90;122,25;122,28;122,47;118,94;119,88;129,81;132,83;138,46;141,55;134,02;132,63;125,32;122,77;114,07;113,39;108,16;103,64;90,11;98,67;100,62;50,05;113,24
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;93,94;93,20;71,30;87,51;90,90;46,79;68,56
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;32,94;62,95;69,23;78,26;72,83;77,84;79,20;88,99;87,76;90,71;74,24;70,61;81,58;48,81;51,27
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;2,19;70,50;89,16;93,69;88,30;92,53;76,51;76,28;76,82;48,49;47,92
"073 Hepatite B";0,07;0,00;0,14;0,47;3,28;35,39;64,93;75,45;79,78;84,96;95,98;100,16;106,39;106,25;101,16;106,02;100,24;97,04;97,44;100,18;90,09;92,09;87,50;75,17;80,53;46,35;67,82
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;23,82;96,48;89,15;91,67;73,12;72,22;79,42;44,07;71,01
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,92;50,76;76,27;86,20;81,40;84,05;80,74;82,04;87,81;52,19;67,77
"074 Poliomielite";34,81;43,91;38,44;62,35;64,78;68,41;80,98;96,45;96,78;99,51;108,34;112,95;114,26;118,59;108,01;112,14;106,62;102,93;97,54;105,73;93,42;100,02;69,43;72,80;79,34;47,59;84,77
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,46;0,27;0,62;1,17
"006 Febre Amarela";33,62;41,82;10,81;18,40;76,33;77,45;99,63;93,76;98,70;97,72;91,87;102,16;106,79;114,12;100,20;102,89;104,64;101,53;100,62;99,37;88,49;87,32;68,62;63,23;71,42;43,97;79,41
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;43,49;91,82;56,54;72,03;69,80;46,01;53,78
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;81,01;73,78;76,56;67,43;70,43;71,87;46,01;69,72
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;84,65;74,76;77,06;77,11;73,84;69,18;48,18;72,30
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;95,68;80,84;77,12;56,96;64,44;58,33;40,65;68,03
"021 Tríplice Viral  D1";...;...;...;...;...;...;82,66;80,13;83,40;102,32;106,30;113,67;110,54;119,71;113,90;118,10;109,99;112,84;98,21;106,37;123,86;90,47;80,01;81,41;82,64;50,05;101,85
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;46,05;89,25;74,36;47,58;54,37;56,12;37,66;57,88
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;23,44;87,39;72,06;51,68;21,14;15,05;5,66;39,62
"075 DTP";39,16;59,98;57,22;47,81;68,78;69,22;73,67;83,64;44,48;0,49;97,84;105,29;108,90;111,54;106,78;108,78;104,39;100,33;86,71;97,38;89,42;91,80;73,31;72,31;79,49;44,09;76,33
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,57;...;2,67;3,31;1,95;0,93;4,33
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;107,27;79,51;79,95;46,38;61,37;61,29;35,39;67,67
"018 Sarampo";45,26;71,00;72,64;102,07;87,08;93,02;103,22;103,24;100,98;24,56;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;78,69
"009 Haemophilus influenzae b";...;-;-;-;-;-;25,17;70,53;31,38;2,71;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14,44
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;54,51;49,47;47,52;29,13;31,29;44,39;30,25;41,04
"003 dTpa gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,26;8,07;40,72;28,32;37,83;62,97;44,89;31,94
"Total";36,58;45,89;40,01;49,99;59,88;65,75;72,44;80,63;72,66;58,92;90,02;97,20;91,37;99,04;94,01;97,46;87,20;92,95;86,31;74,85;73,64;83,12;59,03;66,27;70,16;42,60;70,80
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

