 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Unidade da Federação: Mato Grosso
Período:1994-2019
"Imuno";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";78,75;100,39;98,14;119,89;112,27;107,83;113,33;115,54;112,31;108,02;111,56;113,86;111,97;117,62;112,73;111,47;98,65;105,01;107,44;106,72;111,78;109,26;96,55;95,96;105,00;51,10;104,36
"099 Hepatite B  em crianças até 30 dias";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;104,25;100,77;89,84;87,15;96,51;48,87;75,55
"061 Rotavírus Humano";...;...;...;...;...;-;-;-;-;-;...;...;28,84;74,54;81,76;89,58;85,63;88,31;90,05;94,02;97,76;99,35;90,78;83,46;91,71;53,70;60,39
"053 Meningococo C";...;...;...;...;...;...;...;...;...;...;-;-;-;-;-;-;2,45;107,06;98,56;99,55;100,34;102,94;95,67;87,78;89,32;54,92;60,63
"073 Hepatite B";0,01;0,02;0,97;0,34;5,75;75,32;81,56;88,94;88,40;89,75;93,28;96,64;98,85;104,81;96,31;103,30;96,55;99,06;98,60;99,16;103,23;102,05;105,80;86,84;91,38;55,76;73,58
"080 Penta";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,58;95,84;101,47;101,73;95,42;85,70;89,37;51,03;80,73
"012 Pneumocócica";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9,42;74,48;88,58;93,58;95,50;97,53;99,64;91,69;97,37;55,71;80,86
"074 Poliomielite";48,25;58,58;68,61;104,25;109,78;111,50;125,46;117,54;111,61;108,27;109,45;112,94;109,60;112,30;104,55;107,67;100,40;103,22;99,50;101,20;102,47;102,81;90,64;84,56;90,40;52,50;96,64
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,63;0,82;0,78;0,75
"006 Febre Amarela";5,70;18,66;18,02;29,89;70,74;76,55;111,47;110,61;106,44;104,10;81,45;100,02;105,44;110,13;102,78;103,51;93,56;95,93;97,67;99,79;108,56;94,98;89,14;83,08;85,48;49,27;80,83
"096 Hepatite A";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;-;58,67;99,49;78,33;86,12;84,04;50,06;65,76
"091 Pneumocócica(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;89,96;90,50;89,78;85,86;79,69;79,62;45,76;79,73
"092 Meningococo C (1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;91,53;92,30;91,47;98,15;83,90;81,05;55,51;84,55
"093 Poliomielite(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;95,43;88,58;86,69;77,84;81,14;70,91;45,09;77,47
"021 Tríplice Viral  D1";...;...;...;...;...;...;61,41;88,61;94,64;120,92;110,41;109,58;109,83;114,80;100,37;104,65;97,70;98,48;99,32;107,76;120,66;98,71;96,68;91,12;90,81;54,49;102,18
"098 Tríplice Viral  D2";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;59,20;100,71;80,55;85,08;76,94;80,46;49,04;75,76
"097 Tetra Viral(SRC+VZ)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;30,52;99,51;76,73;85,98;70,26;61,21;46,34;67,21
"075 DTP";57,62;73,26;72,57;91,60;94,15;89,43;93,94;100,82;45,48;0,56;104,57;105,31;106,10;108,85;99,50;106,03;97,87;99,22;95,66;98,24;101,63;101,82;95,48;85,82;89,44;51,10;86,28
"102 DTP REF (4 e 6 anos)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,34;...;3,05;3,21;2,06;1,20;3,45
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;94,44;88,14;90,07;73,95;76,54;71,68;39,22;75,70
"018 Sarampo";63,74;88,14;78,68;103,39;95,64;97,50;117,88;116,17;102,84;4,08;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;85,87
"009 Haemophilus influenzae b";...;-;-;-;-;2,35;74,88;94,24;39,84;0,57;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,81
"094 Dupla adulto e tríplice acelular gestante";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;56,22;54,56;52,95;37,37;41,15;50,05;29,83;45,79
